WorldCup,Team,FIFA_Ranking,Elo_Rating,Average_Age,Squad_Value_MEUR,Win_Rate_Last4Years,Goals_Per_Game,Previous_WorldCup_Appearances,Champion
1998,Brazil,1,2120,27.5,420,0.82,2.40,16,0
1998,France,18,2050,28.1,380,0.75,2.10,9,1
1998,Germany,2,2080,29.0,390,0.73,1.90,14,0
1998,Argentina,6,2070,27.0,410,0.78,2.20,11,0
1998,Italy,3,2065,28.4,400,0.74,1.95,13,0
2002,Brazil,2,2140,27.3,500,0.84,2.50,17,1
2002,Germany,11,2055,28.8,450,0.68,1.80,15,0
2002,Argentina,3,2120,27.1,520,0.81,2.30,12,0
2002,France,1,2100,28.5,510,0.79,2.20,10,0
2002,Italy,6,2085,28.0,480,0.76,2.00,14,0
2006,Italy,13,2095,28.9,620,0.75,1.95,15,1
2006,Brazil,1,2160,27.8,700,0.85,2.60,18,0
2006,Germany,19,2100,26.5,650,0.77,2.10,16,0
2006,France,8,2080,29.2,640,0.71,1.85,11,0
2006,Argentina,9,2110,27.0,680,0.80,2.25,13,0
2010,Spain,2,2145,27.4,650,0.79,2.15,13,1
2010,Brazil,1,2155,28.1,700,0.82,2.30,19,0
2010,Germany,6,2120,25.8,600,0.76,2.10,17,0
2010,Argentina,7,2115,27.2,670,0.78,2.25,14,0
2010,Netherlands,4,2130,27.5,620,0.77,2.05,9,0
2014,Germany,2,2165,26.8,850,0.82,2.35,18,1
2014,Argentina,5,2140,28.0,780,0.80,2.20,15,0
2014,Brazil,3,2145,28.4,820,0.81,2.30,20,0
2014,Netherlands,15,2120,28.2,760,0.74,2.05,10,0
2014,France,17,2110,27.0,790,0.75,2.10,12,0
2018,France,7,2150,26.5,1080,0.81,2.30,13,1
2018,Brazil,2,2160,27.8,1020,0.84,2.40,21,0
2018,Belgium,3,2140,27.5,980,0.82,2.35,13,0
2018,Croatia,20,2090,28.9,650,0.70,1.90,5,0
2018,England,12,2115,26.3,870,0.75,2.05,15,0
2022,Argentina,3,2135,27.1,900,0.82,2.40,17,1
2022,France,4,2125,27.9,1050,0.80,2.30,16,0
2022,Brazil,1,2165,28.0,980,0.84,2.50,22,0
2022,England,5,2120,26.8,950,0.78,2.20,16,0
2022,Spain,7,2105,25.9,870,0.76,2.10,16,0
